(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
(software#neutral)(system#negative),When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.
,I can't even turn it off.
(Microsoft office for the mac#negative),"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC."
(syncing#positive),Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.
,I shopped around before buying.
"(30"" HD Monitor#positive)(screen#neutral)","I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"
,Would do business again.
(boot up#negative),The machine is slow to boot up and occasionally crashes completely.
(service#negative),"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours."
,I have had the luxury (sarcasm) of owning 2 of these laptops.
,What a waste.
,It was a total Dhell experience that I will never repeat.
,There are a few flaws as well that I noticed.
,Completely worth every single penny dime and nickel.
,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.
(battery#conflict),"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since."
,:) In the past four years I've had it I have never once gotten a virus.
(operating system#positive)(preloaded software#positive),I love the operating system and the preloaded software.
,"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future."
,I've tried going back to XL but there still problems.
(price#positive)(features#positive),The best thing about this laptop is the price along with some of the newer features.
(clock in BIOS setup#negative),"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie)."
(WARRANTY SERVICE#negative),YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.
,But it may be potentially hundreds or thousands in the near future.
,Has met or exceeded my needs for a compact travel device.
(brand#negative),but now i have realized its a problem with this brand.
,It cannot save the correct date and time I set.
(warranty#positive),I sent it back to Toshiba twice they covered it under the  warranty.
,And this isn't just my one experine.
,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.
(features#positive),I was looking for a mac which is portable and has all the features that I was looking for.
,I would highly recommend this one to my friends
,"I honestly love my mac, thats why I am a self proclaimed mac addict."
,And these are some reasons you should get a macbook pro.
(fan#negative),Also kinda loud when the fan was running.
(Customer Service number#neutral)(warranty#negative)(talking to a technician#negative),"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
,I purchased this laptop while on a business trip to keep up with my email.
(hard disc#negative)(windows#negative)(drivers#neutral),There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
(Drivers#positive)(BIOS update#negative)(system#negative),Drivers updated ok but the BIOS update froze the system up and the computer shut down.
,-they lost my laptop for a month
(HP Technical Support#neutral),Spent 2 hours on phone with HP Technical Support.
,"This is my second laptop,and it is head and shoulders above my first."
,at first!
(browser#negative),"Speaking of the browser, it too has problems."
,I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.
(keyboard#negative),The keyboard is too slick.
(virus scan#neutral),Nightly my computer defrags itself and runs a virus scan.
(9 punds#negative),"It's like 9 punds, but if you can look past it, it's GREAT!"
(program#neutral),It's just as fast with one program open as it is with sixteen open.
(warrenty#negative),"Still under warrenty so called Toshiba, no help at all."
(Toshiba Warranty#negative),I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.
,I LOVE IT!
(Quality#positive),Amazing Quality!
(webcam#neutral)(value#positive),The fact that you can spend over $100 on just a webcam underscores the value of this machine.
(internet#neutral)(managing personal files#neutral),"I mainly use it for email, internet, and managing personal files (pics, vids, etc.)."
(motherboard#negative),"A month or so ago, the freaking motherboard just died."
(system#negative),"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all."
(charger#negative)(hardware#negative),Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
,I took it back to Best Buy where they were so helpful and immediately gave me a new one.
,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer."
,"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack""."
,This machine delivers.
,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.
,I complain again...
,This laptop is insane!!!
(force quit#positive),"If a website ever freezes (which is rare), its really easy to force quit."
,It does run a little warm but that is a negligible concern.
(works#negative),It rarely works and when it does it's incredibly slow.
(Windows 7#positive)(VMWare program#neutral),I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.
(operating system#positive)(runs#positive)(navigate#positive)(find files#positive),"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!"
(warrenty#negative),Purchased a Toshiba Lap top it worked good until just after the warrenty went out.
,I always swore by PCs and would never consider a MAC.
,"what an elegant, wonderful machine."
,This is now my 3rd MacBook Pro and I really honestly love it!
,for 2 months.
(extended warranty#neutral),"I wanted to purchase the extended warranty and they refused, because they knew it was trouble."
,Do you ever think HP would do that? NEVER!
(memory#neutral)(speed#positive)(performace#positive),We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
,It's not like I have used for half a year and then complained about it.
,Still trying to learn how to use it.
(opening my Documents folder#negative),"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder."
,I bought the netbook because it was smaller and lighter for me to carry around.
,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.
,We'll save our money to replace it with a Mac again!
,Thank you for your great product!
,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen..."
(operating systems#negative),I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.
,"Sorry Toshiba, but 1st impressions do count for something."
(charger#negative),"Then, within 5 months, the charger crapped out on me."
(speed#positive),And if you have a iphone or ipod touch you can connect and download songs to it at high speed.
,Overall this laptop is great.
(glass touchpad#positive),I love the glass touchpad.
(hard drive#negative)(mother board#negative),  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.
(external speaker#positive)(sound#positive),I am using the external speaker- sound is good.
,The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.
,"Ok, this is probably the best laptop series ever devised by Apple."
,"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible."
(battery life#negative),"still testing the battery life as i thought it would be better, but am very happy with the upgrade."
(hardware#negative),"Then HP sends it back to me with the hardware screwed up, not able to connect."
,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.
(shipping#negative),"Oh yeah, don't forget the expensive shipping to and from HP."
,I would recommend anyone to buy from pcconnection express.
,Good luck.
(Mac software#positive)(Microsoft software#negative)(use#positive),"Everything is so easy to use, Mac software is just so much simpler than Microsoft software."
,"  My favorite by far, although the most expensive, was my Sony."
(delete  key#negative)(editing#negative),"And if you do a lot of writing, editing is a problem since there is no  forward delete  key."
,Also I typed faster then then letters would show and it got to be realy annoying.
,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.
(use#positive)(service#positive)(phone assistance#positive)(genius bar#positive),Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
(battery life#positive)(battery life#positive)(gaming#neutral)(movie playing#neutral)(web browsing#neutral)(word editing#neutral),"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours."
,"I shipped out on Saturday, July 17."
,I bought it for really cheap also and it's AMAZING.
(recovery discs#positive),"Acer has set me up with FREE recovery discs, when they are available since I asked."
"(Office Max's ""Max Assurance""#neutral)","I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause."
,If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.
(iMac backup disc#neutral)(USB#neutral),I eventually did the migration from my iMac backup disc which uses USB.
,Those things are very important - vital even!
,"-They say it will take ""up to two weeks""."
,I didn't like one thing about it.
(battery life#positive),"The battery life seems to be very good, and have had no issues with it."
(battery timer#negative),Enabling the battery timer is useless.
(Temperatures#neutral)(Core Processing Unit temperatures#neutral),Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.
,"Yeah, to you."
,I got a mac as my HS graduation gift.
,I have now had it for 1.5 months and love it.
,It turned out it's not really a problem to have a Mac.
,Page just disapeared after you got yahoo or downloaded something.
,Images can be multi-selected and viewed swiftly or in slideshow mode.
(service#neutral),Going to bring it to service today.
(virus protection for Mac#positive),"There is no need to purchase virus protection for Mac, which saves me a lot of time and money."
(bluetooth#negative),"But we had paid for bluetooth, and there was none."
(LG notebook service center#neutral)(hinge#negative),"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter."
(games#neutral),"My daughter uses it for games, email, facebook, pictures and music."
,Laptop is to be used like a Netbook.
(responds#positive),"It is always reliable, never bugged and responds well."
(motherboard#negative)(motherboard#neutral),After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient."
(hardware#negative),"It was slow, locked up, and also had hardware replaced after only 2 months!"
(motherboard#negative),they had to replace the motherboard in April
(use#positive),"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use."
(representive at Microsoft#negative)(system#negative)(XP#positive),"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could."
,There is a little indent to help open it - but good luck with that.
(WIndows 7#positive)(Vista#negative),I love WIndows 7 which is a vast improvment over Vista.
,"  Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot."
,It Was a great deal after all.
,This mac is great!
(Keyboard#positive),"Keyboard is great, very quiet for all the typing that I do."
,I grew up in a design family so it only made sense.
,Gave phonenumber.
,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.
,Oh my goodness-I am not a happy camper.
(Dell's customer disservice#negative),Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.
,I'd recommend this laptop to anyone!
,"Yet, HP won't do anything about the problem."
,i'm returning mine
(cooling system#negative)(use#neutral),"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error."
(quad core I7#positive),"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7."
,It's a bummer and one out of five is being kind.
,"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables."
(sales associate#positive),"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook."
(system#positive)(Windows applications#neutral),"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;"
(virus program#negative),You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.
,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.
,One of them seems to have worked.
,Which I still use and have hooked up to my TV.
,The problem I had with this unit was unresolvable.
(weighed#neutral)(seven pounds#neutral),It weighed like seven pounds or something like that.
(battery#negative),"2 months later, the battery went."
(bag#neutral),You may need to special order a bag.
(color#positive),It's color is even cool.
,and it has blue screen crashed on me twice.
,  Another two weeks later and it was back in my possession.
(keys#negative)(designed#negative),keys are all in weird places and is way too large for the way it is designed.
,"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had."
,We purchase the Dell XPS several years ago for my home business.
,"Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems."
,I would recommend anyone to buy from pcconnection express.
(style#positive)(speed#positive),"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor."
,He gave me this PC about 3 years ago and up to this point im still sitting here using it.
,I'm pleased.
(keyboard#positive),The keyboard feels good and I type just fine on it.
,"With a healthy pessimism, I took the machine home and tried to find a flaw."
,Shiny  This Laptop is the Best of the best!
(mousepad#neutral),I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.
(battery#negative),"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying."
,"Don't waste their money, save it and but a mac."
,Money and time well spent!
,  Gradually the freezing screen evolved into a screen that froze in weird shapes.
(sales#positive)(service#positive)(DELL SUPPORT#positive),"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple"
,Good laptop for the money.
,I like the laptop overall.
,I now travel with this laptop and my work PC.
,  I am however pleased that it is still hanging in there.
,Both my husband and I have this model Toshiba.
(hard drive#neutral)(motherboard#neutral),"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard."
(speed#positive)(construction quality#positive)(longevity#positive)(cost#conflict),"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity."
"(keyboard#positive)(keys#positive)(configuration of ""extra key""#positive)","Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
(touch pad#neutral),) I also tried the touch pad and compared it to other netbooks in the store.
(use#positive)(security#positive)(pricetag#conflict),"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag."
(use#negative)(work#negative),"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work."
(preloaded software#positive),lots of preloaded software.
,"  Sony, Acer, Dell, Packard Bell and Toshiba."
,"and then, a guy came out to serve me instead."
,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!
,Have returned that laptop unused.
,  Will probably never buy a HP again.
,I got tired of buying laptops and having them stop working after a year.
,I should have been more observant.
(webcam#negative),"I wish it had a webcam though, then it would be perfect!"
(vga port#positive)(screen#neutral),My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.
(battery life#positive),Another thing I might add is the battery life is excellent.
(keys#negative),"One drawback, I wish the keys were backlit."
,"When the buyer returned it Wal Mart just boxed it, taped it shut  resold it as new."
,What a great little laptop.
(software#positive),"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem."
(volume#negative)(mouse#negative),I wish the volume could be louder and the mouse didnt break after only a month.
(touchpad#positive),"I play a lot of casual games online, and the touchpad is very responsive."
(boots up#positive),"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker."
(hard drive#negative),It caught a virus that completely wiped out my hard drive in a matter of hours.
,WOULD PAY MORE FOR IT IF I HAD TOO!
,Couldn't keep a page up you were working on!
(look and feel standpoint#positive),"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy."
(safari#negative)(safari#negative)(Mozzilla firfox#positive),the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
(Bluetooth#negative)(fingerprint reader driver#negative)(software#negative),"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
(battery#positive)(speed#positive)(display#positive),"Great battery, speed, display."
,I would not recommend this product to anyone.
,I like to use it at the race track to handiecap the horse races.
,I was given a Mac as a birthday present and couldn't be happier with it 3 years later.
(delivery#positive),"The delivery was fast, and I would not hesitate to purchase this laptop again."
(battery life#positive)(performance#positive)(memory#negative),I've been impressed with the battery life and the performance for such a small amount of memory.
,do a quick search on the internet see if im the only one.
,I'm extremely happy with my purchase as I now have the portable power I have been looking for.
(applications#positive)(Microsoft office#positive),"It's applications are terrific, including the replacements for Microsoft office."
(Resolution#negative)(appearance#negative)(cooling system#negative)(graphics card#negative),"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
(built-in webcam#negative)(built-in mic#negative)(cam#negative)(mic#negative),"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
(Windows Vista#neutral),Is this partially due to the fact that it is running Windows Vista?
,"You might think, I am new in this game, but I am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast."
,I was informed that I need to call some 0900 number first.
,I really wanted a Mac over a pc because I used a Mac in high school.
,"1) Payed $2200 for a ""premium"" laptop"
,I BOUGHT THEM FOR MY COLLEGE AGE GRANDCHILDREN AND THESE MACS ARE TOTALLY RELIABLE AND SUPPORT THEIR CLASS WORK 100% OF THE TIME.
(board#negative)(connector#negative)(power supply#negative)(warrenty#negative)(power supply#negative),  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
,Do not purchase this laptop.
(ethernet#positive)(works#positive),"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!"
(drag and drop feature#positive),Mostly I love the drag and drop feature.
(webcam#negative),"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?"
,"She brought out 2 other identical netbooks and still insist that ""It is like that one""."
(sales tax#positive),"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally."
,Very fast and efficient!
(software packages#positive)(iWork#positive)(GarageBand#positive)(iMovie#positive),"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie."
,Being virus-resistant is a huge plus.
(screen#positive)(colors#positive)(resolution#positive),The screen is very large and crystal clear with amazing colors and resolution.
(monitor#negative),"After a little more than a year of owning my MacBook Pro, the monitor has completely died."
,"In my house, HP is a nasty word."
(iTunes#positive),"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all."
,"By the way teachers, they offer a discount which helps!"
,now he mows yards so he can earn the money for the wireless internet.
,I still see the benefits of a PC when I do not know how to do something on my mac.
(Size#negative)(external monitor#neutral),"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares."
(base installation#negative)(software#negative),Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.
,It is held in place magnetically.
(manuf#negative),  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).
(camera#conflict),"It has no camera but, I can always buy and install one easy."
(display#positive),"The display is incredibly bright, much brighter than my PowerBook and very crisp."
,We were PC users.
(AMD Turin processor#positive)(Intel#negative),The AMD Turin processor seems to always perform so much better than Intel.
(warranty#neutral),  After that the said it was under warranty.
(start menu#negative)(navigate#negative),The start menu is not the easiest thing to navigate due to the stacking.
(bluray read/write drive#negative),Only thing I would want to add to this is an internal bluray read/write drive.
,"This computer was awful, I would never recomend it to another person."
(service tech#negative),The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.
(tech store#negative),"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later."
,"I loved it then, but unfortunately it was before the days of wireless internet."
(surface#positive),Really like the textured surface which shows no fingerprints.
,"I WILL NEVER AGAIN buy another Acer, not will I buy Gateway, or eMachine as they are all from the same company."
(screen#positive)(keyboard#positive),The screen is bright and the keyboard is nice;
,"I look forward to years of use, it has held up well over the years and it fits my needs very well."
,Im very happy with this computer!
(iLife#positive)(Snow Leopard X#positive),But the machine is awesome and iLife is great and I love Snow Leopard X.
(price tag#negative),"High price tag, however."
(Mac OS#positive),"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC."
,"My kids have to take their PCs in once a year to have them ""de-bugged""."
(sound output quality#negative),"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD."
,It was a laugh  too!
,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop."
,I bought my macbook a few months ago and it has been my baby ever since.
,That is how it is able to function better than any other PC.
(techie#negative),I custom ordered the machine from HP and could NOT understand the techie due to his accent.
(use#positive),It is easy to use and lightweight.
(Toshiba online help#positive),I went to Toshiba online help and found some suggestions to fix it.
,It is a bit heavy.
,  after trying to get some help he disconnected on me.
(service life#positive),They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).
(ports#neutral)(processor#neutral),If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.
(price#positive)(look#positive),This laptop is a great price and has a sleek look.
(keyboard#positive)(keys#positive),I especially like the keyboard which has chiclet type keys.
(screen#conflict),Small screen somewhat limiting but great for travel.
,One of the primary reasons why I purchased an IPad was to store photographs so that I could show to my customers.
(quality#negative),Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.
(stock screen#negative),"For the not so good, I got the stock screen - which is VERY glossy."
(gray color#positive),The gray color was a good choice.
,This was the second computer and brand bought that day.
,Buy this.
,VERY disappointing:
,"I love this product because it is Toshiba and its 15.6""."
(volume buttons#negative),I would like to have volume buttons rather than the adjustment that is on the front.
,This is my first computer purchase
,People know what they are talking about and they have pride in the product that they are selling.
(processor#negative)(computing#negative),The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.
,Would HIGHLY recommend this netbook though.
,"I have had several machines over the years, both for personal and business use."
(protector#neutral)(key pad#positive),I bought a protector for my key pad and it works great :)
(magnetic plug-in power charging power cord#positive),The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!
,Well i got this computer from Best Buy and I have had nothing but problems I bought the computer with a virus.....
(XP#positive)(Vista#negative),It seems they could have updated XP and done without creating Vista.
(graphics#positive)(use#positive),"  It is easy to use, fast and has great graphics for the money."
,I decided I wanted a laptop so I went into the BBY store.
(Mac OS#positive)(use#positive),I like how the Mac OS is so simple and easy to use.
(support#positive),"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium."
,"In the three years I've had my MacBook Pro, I have never had a virus on my computer, and I do a lot of work on the internet."
(Geek Squad#positive),"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed."
,I have had laptops in the past and I thought why not give these small netbooks a try.
,It can't get any better.
,"All the problems I have had with PC's are solved with a Mac: the issue of overheating-my Dell was always overheating and not working properly or simply shutting off, and the issue of viruses and contaminants-my HP completely quit working within2 years of purchasing it, with no inexpensive way of fixing it."
(graphics quality#positive),only good thing is the graphics quality.
(Appleworks#negative)(browser#negative),"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless."
,In short I would never buy a Compaq again.
,"I love the 15"" MacBook Pro."
,breaks easily.
(paint#negative)(keyboard#negative),The paint wears off easily due to the keyboard being farther back than usual.
,"That's right, no power, absolutely NOTHING."
(service department#neutral),I had purchased it from a major electronics store and took it to their service department to find out what the problem was.
(warrenty#positive)(warrentys#negative),The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.
,But I was wrong.
,NO good.
(hard disk#neutral),I always use a backup hard disk to store important files at all times.
(CD drive#negative)(running#negative),"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!"
,I bought this laptop Was the worst Laptop I've ever bought.
(screen size#positive)(web browsing#neutral),But the screen size is not that bad for email and web browsing.
(software#negative)(loads#neutral),Once I removed all the software the laptop loads in 15-20 seconds.
(trackpad#negative)(external mouse#neutral)(trackpad#negative),On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.
(games#negative),This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.
(features#neutral)(human interface#neutral),"Obviously one of the most important features of any computer is the ""human interface."
(inbuilt applications#negative)(Software#negative),"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did)."
(body#negative),The body is a bit cheaply made so it will be interesting to see how long it holds up.
(i5#negative),The i5 blows my desktop out of the water when it comes to rendering videos.
(antivirus software#neutral)(firewall#neutral),"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful."
,For the use it was purchased for it is a good Laptop.
(price#positive),"Am very glad I bought it, great netbook, low price."
,"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way."
,Worth the investment and truly a fine piece of equipment.
(Apple team#positive),The Apple team also assists you very nicely when choosing which computer is right for you :)
,Summary: Dont buy HP.
(Vista#negative)(Vista#negative)(operating system#neutral)(Vista#negative),"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system)."
(video chat#negative)(quality#conflict),The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.
,You'll need to upgrade and pay a little more for them.
,it is hard to fix and makes it a hassle to own one.
(mouse#positive),That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.
,"Macs are designed for the ""frontal lobe challenged"" people out there."
(Fan#positive)(cooling pad#neutral)(feature#positive),"Fan vents to the side, so no cooling pad needed, great feature!"
(software#positive),"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses."
(installation time#negative),Wasted me at least 8 hours of installation time.
(power#positive)(storage#positive)(abilitiy#positive),"It has far exceeded my expectations for power, storage, and abilitiy."
(spotlight search#positive)(feature#positive),"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document."
(wireless system#negative)(Windows 7#neutral),My wireless system would not recognize Windows 7 and I couldn't get online to find out why.
(quality#positive),I am enjoying it and the quality it provides is great!
,It is the worst laptop ever
(battery life#positive)(speed#positive),"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed."
,"I'm not going to lie, I've never really liked the Acer brand in general."
(OS#positive)(OS#positive),"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!"
